"","member_casual","day_of_week","number_of_rides","average_duration","average_duration_min"
"1","casual","Monday",5591,4752.05043820426,79.2008406367376
"2","casual","Tuesday",7311,4561.80385720148,76.0300642866913
"3","casual","Wednesday",7690,4480.37243172952,74.6728738621587
"4","casual","Thursday",7147,8451.66685322513,140.861114220419
"5","casual","Friday",8013,6090.73730188444,101.512288364741
"6","casual","Saturday",13473,4950.77080086098,82.5128466810164
"7","casual","Sunday",18652,5061.30436414326,84.3550727357209
"8","member","Monday",110430,822.311201666214,13.7051866944369
"9","member","Tuesday",127974,769.441628768344,12.8240271461391
"10","member","Wednesday",121902,711.983790257748,11.8663965042958
"11","member","Thursday",125228,707.209274283707,11.7868212380618
"12","member","Friday",115168,796.733788899694,13.2788964816616
"13","member","Saturday",59413,974.072963829465,16.2345493971577
"14","member","Sunday",60197,972.938335797465,16.2156389299578
